Fecha,Producto,Venta,TipoPago,Pais
2012-3-16 11:7,H,4899,American,Canada
2017-6-12 13:5,A,2340,Cheque,Suecia
2013-5-19 7:27,G,289,Cheque,Brasil
2016-5-7 0:11,D,597,Visa,USA
2012-1-6 6:37,G,289,PayPal,Italia
2017-6-13 11:18,J,1293,Cash,Alemania
2014-12-25 1:25,H,4899,Cheque,Rusia
2015-8-2 8:51,A,2340,American,Italia
2012-11-22 14:24,B,4782,Visa,USA
2013-6-14 16:17,D,597,American,UK
2015-12-6 7:1,J,1293,PayPal,Suecia
2015-3-30 12:58,B,4782,Cash,Alemania
2017-1-2 11:19,D,597,Cash,UK
2017-4-21 16:14,J,1293,Mastercard,Suiza
2016-12-6 13:49,A,2340,Cash,Suiza
2014-7-9 22:44,G,289,Cheque,Brasil
2012-4-29 21:21,D,597,Mastercard,UK
2017-8-9 6:33,C,2590,Visa,Francia
2013-4-8 10:48,J,1293,American,Mexico
2013-11-11 17:31,E,9347,Cheque,Dinamarca
2017-5-27 24:12,E,9347,PayPal,USA
2014-4-22 9:59,J,1293,Cheque,Suecia
2014-9-1 3:52,C,2590,Cash,Francia
2014-5-18 10:45,A,2340,Cash,Canada
2014-6-11 14:16,E,9347,PayPal,Italia
2016-10-11 5:29,H,4899,American,Brasil
2014-7-15 16:11,B,4782,PayPal,Dinamarca
2016-3-15 0:14,G,289,Cheque,Brasil
2012-12-24 18:21,F,4533,Cheque,Brasil
2017-1-21 8:11,A,2340,American,Italia
2016-1-4 21:34,G,289,Mastercard,Suecia
2014-2-21 15:45,G,289,Mastercard,Brasil
2017-1-29 21:41,C,2590,Cash,Canada
2014-1-3 9:41,F,4533,Cash,Suiza
2015-4-1 2:49,B,4782,American,USA
2012-4-18 4:27,C,2590,PayPal,Italia
2015-10-21 22:1,C,2590,PayPal,Suecia
2017-6-20 14:11,A,2340,American,Mexico
2013-4-5 12:19,C,2590,PayPal,Suecia
2014-1-27 8:54,H,4899,Cheque,USA
2015-6-2 1:35,I,2310,PayPal,Suecia
2014-1-9 24:2,I,2310,Mastercard,Francia
2012-7-5 3:48,E,9347,Mastercard,Alemania
2012-1-23 4:12,E,9347,PayPal,Dinamarca
2013-2-10 6:53,G,289,American,Italia
2017-9-9 3:21,B,4782,Visa,Italia
2016-4-11 12:42,D,597,Cheque,Canada
2013-8-19 10:51,B,4782,Mastercard,Dinamarca
2015-10-7 7:27,D,597,Cash,Dinamarca
2017-5-12 12:21,A,2340,PayPal,Francia
2012-8-22 1:48,I,2310,Cash,Rusia
2017-11-9 21:45,D,597,Visa,Alemania
2017-12-16 3:45,F,4533,PayPal,UK
2015-3-12 13:5,A,2340,American,UK
2017-2-3 5:40,G,289,Cash,Mexico
2016-12-17 9:50,F,4533,Visa,Mexico
2015-4-10 13:1,A,2340,PayPal,Italia
